"projectId","companyId","stage","priority","owner","intentionType","intendedArea","nextFollowUp","notes","contractStatus","contractNumber","contractAmount","depositAmount","depositPaidDate","balanceAmount","balanceDueDate","paymentStatus","contractNotes","boothType","boothMaterials","subsidyMaterials","rentals","isGroupTour","groupTravel","businessOwner","intentionData","followUps","payments","booths","executionUnlocked","subsidyEnabled","profitData","contractData","updatedAt"
"1784007566257","51","已联系","高","Danny","光地展位","192","2026-07-20","德赛目前不同意付款新丝路，因为新丝路不是供应商，联能去沟通跟进新丝路录入供应商系统","未签订","","","","","0","","未收款","","独立标准展位","{}","{}","[]","false","{}","联能","{}","[{""id"":1,""date"":""2026-07-16 05:28"",""method"":""微信"",""content"":""德赛目前不同意付款新丝路，因为新丝路不是供应商，联能去沟通跟进新丝路录入供应商系统"",""feedback"":"""",""nextDate"":"""",""person"":""联能"",""createdAt"":""2026-07-16T05:28:48.967Z""}]","[]","[]","true","false","{}","{}","2026-07-17T04:36:04.187Z"
"1784007566257","52","已联系","高","","独立标准展位","9","2026-07-17","已发送资料，等待回传，对方对接人说我们价格比中展高，调整价格","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","新丝路","{}","[]","[]","[]","false","false","{}","{}","2026-07-14T15:25:14.288Z"
"1784007566257","54","已联系","高","黄总","光地展位","28","2026-07-20","目前按照凌斯单独准入的规则去提申请，按照检测的类别大概率是在A4馆，保留原位在B4的机会不大","未签订","","","20000","","0","","部分付款","","光地展位","{}","{}","[]","false","{}","新丝路","{""position"":""B4"",""hall"":""B4"",""depositStatus"":""已转合同"",""depositAmount"":""20000"",""depositMethod"":""转账"",""depositDate"":""2026-07-14"",""openings"":""暂未确定""}","[{""id"":1784047407896,""date"":""2026-07-16 06:54"",""method"":""微信"",""content"":""目前按照凌斯单独准入的规则去提申请，按照检测的类别大概率是在A4馆，保留原位在B4的机会不大"",""feedback"":"""",""nextDate"":""2026-07-20"",""person"":""新丝路"",""createdAt"":""2026-07-16T06:54:47.956Z""},{""id"":1784047407895,""date"":""2026-07-14 16:43"",""method"":""微信"",""content"":""已支付定金"",""feedback"":"""",""nextDate"":"""",""person"":""Kebbie"",""createdAt"":""2026-07-14T16:43:27.895Z""}]","[{""id"":1784047414245,""amount"":20000,""date"":""2026-07-14"",""method"":""银行转账"",""source"":""意向定金"",""stage"":""意向阶段"",""purpose"":""意向定金"",""status"":""有效"",""serial"":"""",""verified"":false,""notes"":"""",""createdAt"":""2026-07-14T16:43:34.245Z""}]","[{""id"":-54,""hall"":""A4"",""number"":"""",""area"":28,""type"":""光地展位"",""openings"":""待确认"",""notes"":""""}]","false","false","{}","{}","2026-07-19T03:53:06.704Z"
"1784007566257","86","已联系","高","何少强","光地展位","40","","已交定金","未签订","","","10000","","0","","部分付款","","光地展位","{}","{}","[]","false","{}","新丝路","{}","[]","[{""id"":-86,""amount"":10000,""date"":"""",""method"":""历史收款"",""source"":""意向定金"",""stage"":""合同阶段"",""purpose"":""意向定金"",""status"":""有效"",""serial"":"""",""verified"":true,""notes"":""由旧版已付款金额自动迁入，保存后转为统一付款记录"",""createdAt"":""""}]","[{""id"":-86,""hall"":""B3"",""number"":"""",""area"":40,""type"":""光地展位"",""openings"":""待确认"",""notes"":""""}]","false","false","{}","{}","2026-07-19T03:49:33.773Z"
"1784007566257","128","已联系","高","王可鑫","光地展位","80","","B2 馆 已交定金","未签订","","0","50000","","0","","部分付款","","待确认","{}","{}","[]","false","{}","新丝路","{}","[]","[{""id"":-128,""amount"":50000,""date"":"""",""method"":""历史收款"",""source"":""意向定金"",""stage"":""合同阶段"",""purpose"":""意向定金"",""status"":""已作废"",""serial"":"""",""verified"":true,""notes"":""由旧版已付款金额自动迁入，保存后转为统一付款记录；已由标准付款记录 #12 替代"",""createdAt"":""""}]","[{""id"":-128,""hall"":"""",""number"":"""",""area"":80,""type"":""待确认"",""openings"":""单面开"",""notes"":""""}]","false","false","{}","{}","2026-07-19T04:54:40.590Z"
"1784007566257","131","已联系","高","","光地展位","42","2026-07-20","等待内部沟通后，最后确定，景雪","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","联能","{}","[]","[]","[]","false","false","{}","{}","2026-07-17T04:35:54.464Z"
"1784007566257","133","已联系","高","罗宇","独立标准展位","9","","已交定金","未签订","","","10000","","0","","部分付款","","独立标准展位","{}","{}","[]","false","{}","新丝路","{}","[]","[{""id"":-133,""amount"":10000,""date"":"""",""method"":""历史收款"",""source"":""意向定金"",""stage"":""合同阶段"",""purpose"":""意向定金"",""status"":""有效"",""serial"":"""",""verified"":true,""notes"":""由旧版已付款金额自动迁入，保存后转为统一付款记录"",""createdAt"":""""}]","[{""id"":-133,""hall"":"""",""number"":"""",""area"":9,""type"":""独立标准展位"",""openings"":""单面开"",""notes"":""""}]","false","false","{}","{}","2026-07-19T05:22:19.007Z"
"1784007566257","623","已联系","低","IDA 雷兰兰","光地展位","","2026-07-23","之前跟进过Ida，表示今天效果不好估计不会去参加了，我这边过段时间再问一下","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","新丝路","{}","[{""id"":1,""date"":""2026-07-16 05:25"",""method"":""微信"",""content"":""之前跟进过Ida，表示今天效果不好估计不会去参加了，我这边过段时间再问一下"",""feedback"":"""",""nextDate"":""2026-07-23"",""person"":""新丝路"",""createdAt"":""2026-07-16T05:25:59.283Z""}]","[]","[]","false","false","{}","{}","2026-07-16T05:26:01.442Z"
"1784007566257","810","已联系","高","","空地展位","","2026-07-21","跟对接人Mindy沟通，暂时没有回复","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","新丝路","{}","[{""id"":1784089132716,""date"":""2026-07-15 04:18"",""method"":""微信"",""content"":""跟对接人Mindy沟通，暂时没有回复"",""feedback"":"""",""nextDate"":""2026-07-21"",""person"":""新丝路"",""createdAt"":""2026-07-15T04:18:52.716Z""}]","[]","[]","false","false","{}","{}","2026-07-15T04:19:00.907Z"
"1784007566257","963","已联系","高","Kelly","独立标准展位","9","2026-07-20","那我们要等老大回来了开会讨论一下申请表已发送，等回传，岛外9平米","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","新丝路","{}","[]","[]","[]","false","false","{}","{}","2026-07-17T04:35:01.154Z"
