"id","projectId","companyId","receivableId","amount","paidAt","category","purpose","verificationStatus","validityStatus","source","legacyKey","notes","createdAt","updatedAt"
"1","1784007566257","28","null","40000","","合同款","意向定金","已核对","有效","历史付款迁移","legacy:1784007566257:28:-28::40000","由旧版已付款金额自动迁入，保存后转为统一付款记录","2026-07-18 04:13:42","2026-07-18T04:13:42.051Z"
"2","1784007566257","29","null","20000","","合同款","意向定金","已核对","有效","历史付款迁移","legacy:1784007566257:29:-29::20000","由旧版已付款金额自动迁入，保存后转为统一付款记录","2026-07-18 04:13:42","2026-07-18T04:13:42.218Z"
"3","1784007566257","33","null","20000","","合同款","意向定金","已核对","有效","历史付款迁移","legacy:1784007566257:33:-33::20000","由旧版已付款金额自动迁入，保存后转为统一付款记录","2026-07-18 04:13:42","2026-07-18T04:13:42.362Z"
"4","1784007566257","36","null","50000","2026-07-17","合同款","意向定金","已核对","有效","历史付款迁移","legacy:1784007566257:36:1784278365669:2026-07-17:50000","","2026-07-18 04:13:42","2026-07-18T04:13:42.548Z"
"5","1784007566257","38","null","0","2026-07-15","合同款","合同首付款","待核对","有效","历史付款迁移","legacy:1784007566257:38:1784130719371:2026-07-15:0","","2026-07-18 04:13:42","2026-07-18T04:13:42.825Z"
"6","1784007566257","54","null","20000","2026-07-14","意向款","意向定金","待核对","有效","历史付款迁移","legacy:1784007566257:54:1784047414245:2026-07-14:20000","","2026-07-18 04:13:43","2026-07-18T04:13:43.070Z"
"7","1784007566257","86","null","10000","","合同款","意向定金","已核对","有效","历史付款迁移","legacy:1784007566257:86:-86::10000","由旧版已付款金额自动迁入，保存后转为统一付款记录","2026-07-18 04:13:43","2026-07-18T04:13:43.254Z"
"8","1784007566257","128","null","50000","","合同款","意向定金","已核对","已作废","历史付款迁移","legacy:1784007566257:128:-128::50000","由旧版已付款金额自动迁入，保存后转为统一付款记录","2026-07-18 04:13:43","2026-07-18T18:09:54.242Z"
"9","1784007566257","133","null","10000","","合同款","意向定金","已核对","有效","历史付款迁移","legacy:1784007566257:133:-133::10000","由旧版已付款金额自动迁入，保存后转为统一付款记录","2026-07-18 04:13:43","2026-07-18T04:13:43.678Z"
"10","1784007566257","1784001020425","null","20000","","合同款","意向定金","已核对","有效","历史付款迁移","legacy:1784007566257:1784001020425:-1784001020425::20000","由旧版已付款金额自动迁入，保存后转为统一付款记录","2026-07-18 04:13:43","2026-07-18T04:13:43.868Z"
"11","1784007566257","1784278016964","null","30000","2026-07-10","意向款","意向定金","已核对","有效","历史付款迁移","legacy:1784007566257:1784278016964:1784278169456:2026-07-10:30000","","2026-07-18 04:13:44","2026-07-18T04:13:44.021Z"
"12","1784007566257","128","null","50000","2026-07-10","参展预付款","展位费","已核对","有效","付款中心","","","2026-07-18 19:22:31","2026-07-18T19:22:31.853Z"
